CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
1.1.1.164	R02462	ec_2_reaction
1.1.1.165	R03963	ec_2_reaction
1.1.1.166	R05315	ec_2_reaction
1.1.1.167	R02969	ec_2_reaction
1.1.1.168	R03155	ec_2_reaction
1.1.1.169	R02472	ec_2_reaction
1.1.1.17	R00758	ec_2_reaction
1.1.1.17	R02703	ec_2_reaction
1.1.1.170	R04328	ec_2_reaction
1.1.1.170	R04483	ec_2_reaction
1.1.1.170	R07149	ec_2_reaction
1.1.1.170	R07494	ec_2_reaction
1.1.1.170	R12366	ec_2_reaction
1.1.1.170	R12404	ec_2_reaction
1.1.1.170	R12406	ec_2_reaction
1.1.1.172	R01932	ec_2_reaction
1.1.1.173	R03942	ec_2_reaction
1.1.1.174	R03278	ec_2_reaction
1.1.1.174	R06621	ec_2_reaction
1.1.1.174	R03279	ec_2_reaction
1.1.1.175	R01429	ec_2_reaction
1.1.1.176	R02793	ec_2_reaction
1.1.1.177	R00845	ec_2_reaction
1.1.1.178	R04203	ec_2_reaction
1.1.1.179	R01430	ec_2_reaction
1.1.1.18	R01183	ec_2_reaction
1.1.1.181	R04264	ec_2_reaction
1.1.1.181	R04263	ec_2_reaction
1.1.1.181	R08721	ec_2_reaction
1.1.1.181	R08723	ec_2_reaction
1.1.1.181	R08724	ec_2_reaction
1.1.1.181	R08728	ec_2_reaction
1.1.1.183	R08083	ec_2_reaction
1.1.1.183	R08084	ec_2_reaction
1.1.1.183	R08085	ec_2_reaction
1.1.1.183	R03581	ec_2_reaction
1.1.1.184	R02581	ec_2_reaction
1.1.1.184	R02975	ec_2_reaction
1.1.1.184	R03557	ec_2_reaction
1.1.1.184	R04285	ec_2_reaction
1.1.1.184	R09420	ec_2_reaction
1.1.1.185	R03584	ec_2_reaction
1.1.1.185	R03585	ec_2_reaction
1.1.1.186	R03826	ec_2_reaction
1.1.1.186	R07150	ec_2_reaction
1.1.1.187	R03397	ec_2_reaction
1.1.1.187	R03399	ec_2_reaction
1.1.1.187	R03396	ec_2_reaction
1.1.1.187	R03398	ec_2_reaction
1.1.1.188	R02799	ec_2_reaction
1.1.1.188	R02684	ec_2_reaction
1.1.1.189	R02581	ec_2_reaction
1.1.1.19	R01481	ec_2_reaction
1.1.1.190	R02679	ec_2_reaction
1.1.1.191	R02680	ec_2_reaction
1.1.1.192	R02462	ec_2_reaction
1.1.1.192	R01998	ec_2_reaction
1.1.1.193	R03458	ec_2_reaction
1.1.1.194	R02593	ec_2_reaction
1.1.1.195	R02593	ec_2_reaction
1.1.1.195	R03918	ec_2_reaction
1.1.1.195	R06570	ec_2_reaction
1.1.1.195	R06571	ec_2_reaction
1.1.1.195	R07437	ec_2_reaction
1.1.1.195	R03054	ec_2_reaction
1.1.1.196	R02683	ec_2_reaction
1.1.1.196	R02800	ec_2_reaction
1.1.1.197	R04552	ec_2_reaction
1.1.1.198	R02944	ec_2_reaction
1.1.1.199	R07345	ec_2_reaction
1.1.1.2	R01481	ec_2_reaction
1.1.1.2	R00625	ec_2_reaction
1.1.1.2	R00746	ec_2_reaction
1.1.1.2	R01041	ec_2_reaction
1.1.1.2	R05231	ec_2_reaction
1.1.1.2	R07328	ec_2_reaction
1.1.1.20	R03183	ec_2_reaction
1.1.1.200	R00834	ec_2_reaction
1.1.1.201	R03753	ec_2_reaction
1.1.1.202	R02377	ec_2_reaction
1.1.1.202	R03119	ec_2_reaction
1.1.1.203	R10841	ec_2_reaction
1.1.1.203	R10842	ec_2_reaction
1.1.1.205	R08240	ec_2_reaction
1.1.1.205	R01130	ec_2_reaction
1.1.1.206	R02832	ec_2_reaction
1.1.1.207	R02177	ec_2_reaction
1.1.1.208	R02548	ec_2_reaction
1.1.1.209	R02476	ec_2_reaction
1.1.1.209	R02477	ec_2_reaction
1.1.1.21	R02531	ec_2_reaction
1.1.1.21	R02577	ec_2_reaction
1.1.1.21	R04285	ec_2_reaction
1.1.1.21	R11764	ec_2_reaction
1.1.1.21	R01036	ec_2_reaction
1.1.1.21	R01041	ec_2_reaction
1.1.1.21	R01093	ec_2_reaction
1.1.1.21	R01095	ec_2_reaction
1.1.1.21	R01431	ec_2_reaction
1.1.1.21	R01758	ec_2_reaction
1.1.1.21	R01759	ec_2_reaction
1.1.1.21	R01787	ec_2_reaction
1.1.1.21	R02819	ec_2_reaction
1.1.1.21	R02820	ec_2_reaction
1.1.1.210	R04344	ec_2_reaction
1.1.1.211	R01778	ec_2_reaction
1.1.1.211	R04737	ec_2_reaction
1.1.1.211	R04739	ec_2_reaction
1.1.1.211	R04741	ec_2_reaction
1.1.1.211	R04743	ec_2_reaction
1.1.1.211	R04745	ec_2_reaction
