stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;kojibiose phosphorylase U00000;;2.4.1.230;;;;irreversible;;0;0;;;kojibiose phosphorylase;;true
1;protein-glucosylgalactosylhydroxylysine glucosidase	 PGGHG (gene name)	 2-O-alpha-D-glucopyranosyl-5-O-alpha-D-galactopyranosylhydroxy-L-lysine glucohydrolase	 protein-alpha-D-glucosyl-1,2-beta-D-galactosyl-L-hydroxylysine glucohydrolase	 protein-alpha-D-glucosyl-(1->2)-beta-D-galactosyl-L-hydroxylysine glucohydrolase U00001;;3.2.1.107;;;;irreversible;;0;50;;;protein-glucosylgalactosylhydroxylysine glucosidase;;true
2;alpha,alpha-trehalose phosphorylase	 trehalose phosphorylase U00002;;2.4.1.64;;;;irreversible;;0;100;;;alpha,alpha-trehalose phosphorylase;;true
3;alpha,alpha-trehalase	 trehalase U00003;;3.2.1.28;;;;irreversible;;0;150;;;alpha,alpha-trehalase;;true
4;3-O-alpha-D-glucosyl-L-rhamnose phosphorylase	 cphy1019 (gene name) U00004;;2.4.1.282;;;;irreversible;;0;200;;;3-O-alpha-D-glucosyl-L-rhamnose phosphorylase;;true
5;trehalose 6-phosphate phosphorylase	 trehalose 6-phosphate:phosphate beta-D-glucosyltransferase U00005;;2.4.1.216;;;;irreversible;;0;250;;;trehalose 6-phosphate phosphorylase;;true
6;maltose phosphorylase U00006;;2.4.1.8;;;;irreversible;;0;300;;;maltose phosphorylase;;true
7;nigerose phosphorylase	 cphy1874 (gene name) U00007;;2.4.1.279;;;;irreversible;;0;350;;;nigerose phosphorylase;;true
8;2.4.1.- U00008;;2.4.1.-;;;;irreversible;;0;400;;;2.4.1.-;;true
9;1,3-alpha-oligoglucan phosphorylase U00009;;2.4.1.334;;;;irreversible;;0;450;;;1,3-alpha-oligoglucan phosphorylase;;true
