stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;xylan 1,4-beta-xylosidase	 xylobiase	 beta-xylosidase	 exo-1,4-beta-xylosidase	 beta-D-xylopyranosidase	 beta-xylosidase	 beta-xylosidase	 exo-1,4-xylosidase	 exo-1,4-beta-D-xylosidase	 1,4-beta-D-xylan xylohydrolase U00000;;3.2.1.37;;;;irreversible;;0;0;;;xylan 1,4-beta-xylosidase;;true
1;3.2.1.- U00001;;3.2.1.-;;;;irreversible;;0;50;;;3.2.1.-;;true
2;endo-1,4-beta-xylanase	 endo-(1->4)-beta-xylan 4-xylanohydrolase	 endo-1,4-xylanase	 xylanase	 beta-1,4-xylanase	 endo-1,4-xylanase	 endo-beta-1,4-xylanase	 endo-1,4-beta-D-xylanase	 1,4-beta-xylan xylanohydrolase	 beta-xylanase	 beta-1,4-xylan xylanohydrolase	 endo-1,4-beta-xylanase	 beta-D-xylanase U00002;;3.2.1.8;;;;irreversible;;0;100;;;endo-1,4-beta-xylanase;;true
3;non-reducing end alpha-L-arabinofuranosidase	 arabinosidase (ambiguous)	 alpha-arabinosidase	 alpha-L-arabinosidase	 alpha-arabinofuranosidase	 polysaccharide alpha-L-arabinofuranosidase	 alpha-L-arabinofuranoside hydrolase	 L-arabinosidase (ambiguous)	 alpha-L-arabinanase U00003;;3.2.1.55;;;;irreversible;;0;150;;;non-reducing end alpha-L-arabinofuranosidase;;true
4;arabinan endo-1,5-alpha-L-arabinanase	 endo-1,5-alpha-L-arabinanase	 endo-alpha-1,5-arabanase	 endo-arabanase	 1,5-alpha-L-arabinan 1,5-alpha-L-arabinanohydrolase	 arabinan endo-1,5-alpha-L-arabinosidase (misleading) U00004;;3.2.1.99;;;;irreversible;;0;200;;;arabinan endo-1,5-alpha-L-arabinanase;;true
5;galactan 1,3-beta-galactosidase	 galactan (1->3)-beta-D-galactosidase U00005;;3.2.1.145;;;;irreversible;;0;250;;;galactan 1,3-beta-galactosidase;;true
6;beta-galactofuranosidase	 exo-beta-galactofuranosidase	 exo-beta-D-galactofuranosidase	 beta-D-galactofuranosidase U00006;;3.2.1.146;;;;irreversible;;0;300;;;beta-galactofuranosidase;;true
