stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;inulin fructotransferase (DFA-III-forming)	 inulin fructotransferase (DFA-III-producing)	 inulin fructotransferase (depolymerizing)	 inulase II	 inulinase II	 inulin fructotransferase (depolymerizing, difructofuranose-1,2':2,3'-dianhydride-forming)	 inulin D-fructosyl-D-fructosyltransferase (1,2':2,3'-dianhydride-forming)	 inulin D-fructosyl-D-fructosyltransferase (forming alpha-D-fructofuranose beta-D-fructofuranose 1,2':2,3'-dianhydride)	 2,1-beta-D-fructan lyase (alpha-D-fructofuranose-beta-D-fructofuranose-1,2':2,3'-dianhydride-forming) U00000;;4.2.2.18;;;;irreversible;;0;0;;;inulin fructotransferase (DFA-III-forming);;true
1;3.2.1.- U00001;;3.2.1.-;;;;irreversible;;0;50;;;3.2.1.-;;true
2;inulin fructotransferase (DFA-I-forming)	 inulin fructotransferase (DFA-I-producing)	 inulin fructotransferase (depolymerizing, difructofuranose-1,2':2',1-dianhydride-forming)	 inulin D-fructosyl-D-fructosyltransferase (1,2':1',2-dianhydride-forming)	 inulin D-fructosyl-D-fructosyltransferase (forming alpha-D-fructofuranose beta-D-fructofuranose 1,2':1',2-dianhydride)	 2,1-beta-D-fructan lyase (alpha-D-fructofuranose-beta-D-fructofuranose-1,2':2,1'-dianhydride-forming) U00002;;4.2.2.17;;;;irreversible;;0;100;;;inulin fructotransferase (DFA-I-forming);;true
