stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;cellulase	 endo-1,4-beta-D-glucanase	 beta-1,4-glucanase	 beta-1,4-endoglucan hydrolase	 celluase A	 cellulosin AP	 endoglucanase D	 alkali cellulase	 cellulase A 3	 celludextrinase	 9.5 cellulase	 avicelase	 pancellase SS	 1,4-(1,3	1,4)-beta-D-glucan 4-glucanohydrolase U00000;;3.2.1.4;;;;irreversible;;0;0;;;cellulase;;true
1;mannan endo-1,4-beta-mannosidase	 endo-1,4-beta-mannanase	 endo-beta-1,4-mannase	 beta-mannanase B	 beta-1,4-mannan 4-mannanohydrolase	 endo-beta-mannanase	 beta-D-mannanase	 1,4-beta-D-mannan mannanohydrolase U00001;;3.2.1.78;;;;irreversible;;0;50;;;mannan endo-1,4-beta-mannosidase;;true
2;xyloglucan-specific endo-beta-1,4-glucanase	 XEG	 xyloglucan endo-beta-1,4-glucanase	 xyloglucanase	 xyloglucanendohydrolase	 XH	 1,4-beta-D-glucan glucanohydrolase U00002;;3.2.1.151;;;;irreversible;;0;100;;;xyloglucan-specific endo-beta-1,4-glucanase;;true
