stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;3.2.1.- U00000;;3.2.1.-;;;;irreversible;;0;0;;;3.2.1.-;;true
1;lysozyme	 muramidase	 globulin G	 mucopeptide glucohydrolase	 globulin G1	 N,O-diacetylmuramidase	 lysozyme g	 L-7001	 1,4-N-acetylmuramidase	 mucopeptide N-acetylmuramoylhydrolase	 PR1-lysozyme U00001;;3.2.1.17;;;;irreversible;;0;50;;;lysozyme;;true
2;mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	 N,N'-diacetylchitobiosyl beta-N-acetylglucosaminidase	 endo-beta-N-acetylglucosaminidase	 mannosyl-glycoprotein endo-beta-N-acetylglucosamidase	 di-N-acetylchitobiosyl beta-N-acetylglucosaminidase	 endo-beta-acetylglucosaminidase	 endo-beta-(1->4)-N-acetylglucosaminidase	 mannosyl-glycoprotein 1,4-N-acetamidodeoxy-beta-D-glycohydrolase	 endoglycosidase S	 endo-N-acetyl-beta-D-glucosaminidase	 endo-N-acetyl-beta-glucosaminidase	 endo-beta-N-acetylglucosaminidase D	 endo-beta-N-acetylglucosaminidase F	 endo-beta-N-acetylglucosaminidase H	 endo-beta-N-acetylglucosaminidase L	 glycopeptide-D-mannosyl-4-N-(N-acetyl-D-glucosaminyl)2-asparagine 1,4-N-acetyl-beta-glucosaminohydrolase	 endoglycosidase H U00002;;3.2.1.96;;;;irreversible;;0;100;;;mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase;;true
