stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;cellulase	 endo-1,4-beta-D-glucanase	 beta-1,4-glucanase	 beta-1,4-endoglucan hydrolase	 celluase A	 cellulosin AP	 endoglucanase D	 alkali cellulase	 cellulase A 3	 celludextrinase	 9.5 cellulase	 avicelase	 pancellase SS	 1,4-(1,3	1,4)-beta-D-glucan 4-glucanohydrolase U00000;;3.2.1.4;;;;irreversible;;0;0;;;cellulase;;true
1;cellulose 1,4-beta-cellobiosidase (reducing end)	 CelS	 CelSS	 endoglucanase SS	 cellulase SS	 cellobiohydrolase CelS	 Cel48A U00001;;3.2.1.176;;;;irreversible;;0;50;;;cellulose 1,4-beta-cellobiosidase (reducing end);;true
2;chitosanase U00002;;3.2.1.132;;;;irreversible;;0;100;;;chitosanase;;true
3;licheninase	 lichenase	 beta-(1->4)-D-glucan 4-glucanohydrolase	 1,3	1,4-beta-glucan endohydrolase	 1,3	1,4-beta-glucan 4-glucanohydrolase	 1,3-1,4-beta-D-glucan 4-glucanohydrolase U00003;;3.2.1.73;;;;irreversible;;0;150;;;licheninase;;true
