stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;galactinol---raffinose galactosyltransferase	 galactinol-raffinose galactosyltransferase	 stachyose synthetase	 alpha-D-galactosyl-(1->3)-myo-inositol:raffinose galactosyltransferase U00000;;2.4.1.67;;;;irreversible;;0;0;;;galactinol---raffinose galactosyltransferase;;true
1;alpha-N-acetylgalactosaminidase	 alpha-acetylgalactosaminidase	 N-acetyl-alpha-D-galactosaminidase	 N-acetyl-alpha-galactosaminidase	 alpha-NAGAL	 alpha-NAGA	 alpha-GalNAcase U00001;;3.2.1.49;;;;irreversible;;0;50;;;alpha-N-acetylgalactosaminidase;;true
2;alpha-galactosidase	 melibiase	 alpha-D-galactosidase	 alpha-galactosidase A	 alpha-galactoside galactohydrolase U00002;;3.2.1.22;;;;irreversible;;0;100;;;alpha-galactosidase;;true
3;galactinol---sucrose galactosyltransferase	 1-alpha-D-galactosyl-myo-inositol:sucrose 6-alpha-D-galactosyltransferase	 alpha-D-galactosyl-(1->3)-myo-inositol:sucrose 6-alpha-D-galactosyltransferase	 raffinose synthase	 RafS U00003;;2.4.1.82;;;;irreversible;;0;150;;;galactinol---sucrose galactosyltransferase;;true
